更新时间,#genre#
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$可回放
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$可回放
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8


卫视,#genre#
北京卫视,http://[2409:8087:74d2:21::4]/270000001128/index.m3u8?cmcc_cid=9900000516
湖南卫视,http://[2409:8087:74d2:21::9]/270000001128/index.m3u8?cmcc_cid=9900000523
东方卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226155/index.m3u8
四川卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000025/index.m3u8
天津卫视,http://[2409:8087:74d2:21::9]/270000001128/index.m3u8?cmcc_cid=9900000530
安徽卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226205/index.m3u8
山东卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226162/index.m3u8
深圳卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226199/index.m3u8
广东卫视,http://[2409:8087:74d2:21::11]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8
广西卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000034/index.m3u8
江苏卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226157/index.m3u8
江西卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226207/index.m3u8
河北卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226442/index.m3u8
河南卫视,http://[2409:8087:74d2:21::9]:80/000000001000PLTV/88888888/224/3221226614/index.m3u8
浙江卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226144/index.m3u8
海南卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000037/index.m3u8
湖北卫视,http://[2409:8087:74d2:21::6]:80/270000001322/69900158041111100000002204/index.m3u8
山西卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226543/index.m3u8
东南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226182/index.m3u8
贵州卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226547/index.m3u8
辽宁卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226209/index.m3u8
重庆卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226551/index.m3u8
黑龙江卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226142/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
内蒙古卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221225664/index.m3u8$576p
宁夏卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000047/index.m3u8
陕西卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226444/index.m3u8
吉林卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000030/index.m3u8
甘肃卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000023/index.m3u8
云南卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000035/index.m3u8
三沙卫视,
青海卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000042/index.m3u8
新疆卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000045/index.m3u8
西藏卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221225698/index.m3u8
农林卫视,http://[2409:8087:74d2:21::4]/270000001128/index.m3u8?cmcc_cid=9900000060
兵团卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000059/index.m3u8
延边卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000073/index.m3u8
安多卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000064/index.m3u8
安多卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226405/index.m3u8
厦门卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000058/index.m3u8
厦门卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221225689/index.m3u8
康巴卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000066/index.m3u8
藏语卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226350/index.m3u8

北京卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226161/index.m3u8
北京卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226739/index.m3u8
湖南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226656/index.m3u8
湖南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226193/index.m3u8
东方卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226735/index.m3u8
东方卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221225755/index.m3u8
四川卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226454/index.m3u8
天津卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226191/index.m3u8
广东卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8
广西卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226452/index.m3u8
江苏卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226737/index.m3u8
河南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226614/index.m3u8
海南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226450/index.m3u8
湖北卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226159/index.m3u8
宁夏卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226446/index.m3u8
吉林卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226440/index.m3u8
甘肃卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226759/index.m3u8
云南卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226549/index.m3u8
青海卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226545/index.m3u8
新疆卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226448/index.m3u8
兵团卫视,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226699/index.m3u8
河南卫视,http://[2409:8087:74d2:21::6]:80/270000001128/9900000027/index.m3u8

三沙卫视,http://223.166.234.215:7777/tsfile/live/1056_1.m3u8
三沙卫视,http://119.125.134.176:9901/tsfile/live/1001_1.m3u8
三沙卫视,http://223.166.234.19:7777/tsfile/live/1056_1.m3u8

宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8

备用,#genre#
CCTV1,https://tvbox.nat.netsite.cc:8043/proxy/1387573383/1387573383.m3u8
CCTV2,https://tvbox.nat.netsite.cc:8043/proxy/1865857764/1865857764.m3u8
CCTV3,http://itms4.sdlk.vip:6721/hls/181/index.m3u8
CCTV4,https://tvbox.nat.netsite.cc:8043/proxy/1431251767/1431251767.m3u8
CCTV5,https://tvbox.nat.netsite.cc:8043/proxy/2118762958/2118762958.m3u8
CCTV5+,https://tvbox.nat.netsite.cc:8043/proxy/485668034/485668034.m3u8
CCTV6,https://tvbox.nat.netsite.cc:8043/proxy/584456678/584456678.m3u8
CCTV7,https://tvbox.nat.netsite.cc:8043/proxy/1163485033/1163485033.m3u8
CCTV8,http://itms4.sdlk.vip:6721/hls/204/index.m3u8
CCTV9,https://tvbox.nat.netsite.cc:8043/proxy/675916385/675916385.m3u8
CCTV10,https://tvbox.nat.netsite.cc:8043/proxy/2131132936/2131132936.m3u8
CCTV11,https://tvbox.nat.netsite.cc:8043/proxy/421024024/421024024.m3u8
CCTV12,https://tvbox.nat.netsite.cc:8043/proxy/1321786312/1321786312.m3u8
CCTV13,https://tvbox.nat.netsite.cc:8043/proxy/1942371728/1942371728.m3u8
CCTV14,https://tvbox.nat.netsite.cc:8043/proxy/512439688/512439688.m3u8
CCTV15,https://tvbox.nat.netsite.cc:8043/proxy/323678478/323678478.m3u8
CCTV16,https://tvbox.nat.netsite.cc:8043/proxy/2055404079/2055404079.m3u8
CCTV17,https://tvbox.nat.netsite.cc:8043/proxy/199561397/199561397.m3u8
CCTV4K,https://tvbox.nat.netsite.cc:8043/proxy/1810627534/1810627534.m3u8

CCTV1,http://itms4.sdlk.vip:6721/hls/200/index.m3u8
CCTV2,http://itms4.sdlk.vip:6721/hls/217/index.m3u8
CCTV3,http://itms4.sdlk.vip:6721/hls/181/index.m3u8
CCTV4,http://itms4.sdlk.vip:6721/hls/216/index.m3u8
CCTV5,http://itms4.sdlk.vip:6721/hls/202/index.m3u8
CCTV6,http://itms4.sdlk.vip:6721/hls/203/index.m3u8
CCTV7,http://itms4.sdlk.vip:6721/hls/215/index.m3u8
CCTV8,http://itms4.sdlk.vip:6721/hls/204/index.m3u8
CCTV9,http://itms4.sdlk.vip:6721/hls/214/index.m3u8
CCTV10,http://itms4.sdlk.vip:6721/hls/213/index.m3u8
CCTV11,http://itms4.sdlk.vip:6721/hls/205/index.m3u8
CCTV12,http://itms4.sdlk.vip:6721/hls/212/index.m3u8
CCTV13,http://itms4.sdlk.vip:6721/hls/206/index.m3u8
CCTV14,http://itms4.sdlk.vip:6721/hls/211/index.m3u8
CCTV15,http://itms4.sdlk.vip:6721/hls/207/index.m3u8

CCTV1,http://kxrj.site:9125/6655/mg9.php?id=cctv1
CCTV2,http://kxrj.site:9125/6655/mg9.php?id=cctv2
CCTV3,http://kxrj.site:9125/6655/mg9.php?id=cctv3
CCTV4,http://kxrj.site:9125/6655/mg9.php?id=cctv4
CCTV4欧洲,http://kxrj.site:9125/6655/mg9.php?id=cctv4o
CCTV4美洲,http://kxrj.site:9125/6655/mg9.php?id=cctv4a
CCTV5,http://kxrj.site:9125/6655/mg9.php?id=cctv5
CCTV5+,http://kxrj.site:9125/6655/mg9.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:9125/6655/mg9.php?id=cctv6
CCTV7,http://kxrj.site:9125/6655/mg9.php?id=cctv7
CCTV8,http://kxrj.site:9125/6655/mg9.php?id=cctv8
CCTV9,http://kxrj.site:9125/6655/mg9.php?id=cctv9
CCTV10,http://kxrj.site:9125/6655/mg9.php?id=cctv10
CCTV11,http://kxrj.site:9125/6655/mg9.php?id=cctv11
CCTV12,http://kxrj.site:9125/6655/mg9.php?id=cctv12
CCTV13,http://kxrj.site:9125/6655/mg9.php?id=cctv13
CCTV14,http://kxrj.site:9125/6655/mg9.php?id=cctv14
CCTV15,http://kxrj.site:9125/6655/mg9.php?id=cctv15
CCTV17,http://kxrj.site:9125/6655/mg9.php?id=cctv17

CCTV1,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv1
CCTV2,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv2
CCTV3,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv3
CCTV4,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv4
CCTV4美洲,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv4a
CCTV4欧洲,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv4o
CCTV5,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv5
CCTV5+,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv5p
CCTV6,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv6
CCTV7,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv7
CCTV8,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv8
CCTV9,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv9
CCTV10,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv10
CCTV11,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv11
CCTV12,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv12
CCTV13,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv13
CCTV14,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv14
CCTV15,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv15
CCTV17,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv17
CCTV发现之旅,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=fxzl
CCTV老故事,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=lgs
CCTV中学生,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=zxs

北京卫视,https://tvbox.nat.netsite.cc:8043/proxy/1773564112/1773564112.m3u8
湖南卫视,https://tvbox.nat.netsite.cc:8043/proxy/480409838/480409838.m3u8
东方卫视,https://tvbox.nat.netsite.cc:8043/proxy/694881013/694881013.m3u8
四川卫视,https://tvbox.nat.netsite.cc:8043/proxy/59757691/59757691.m3u8
天津卫视,https://tvbox.nat.netsite.cc:8043/proxy/240376980/240376980.m3u8
安徽卫视,https://tvbox.nat.netsite.cc:8043/proxy/149472807/149472807.m3u8
山东卫视,https://tvbox.nat.netsite.cc:8043/proxy/95712545/95712545.m3u8
深圳卫视,https://tvbox.nat.netsite.cc:8043/proxy/457534194/457534194.m3u8
广东卫视,https://tvbox.nat.netsite.cc:8043/proxy/573869971/573869971.m3u8
广西卫视,https://tvbox.nat.netsite.cc:8043/proxy/102904669/102904669.m3u8
江苏卫视,https://tvbox.nat.netsite.cc:8043/proxy/256947203/256947203.m3u8
江西卫视,https://tvbox.nat.netsite.cc:8043/proxy/203181175/203181175.m3u8
河南卫视,https://tvbox.nat.netsite.cc:8043/proxy/251465659/251465659.m3u8
河北卫视,http://itms4.sdlk.vip:6721/hls/254/index.m3u8
浙江卫视,https://tvbox.nat.netsite.cc:8043/proxy/2059640241/2059640241.m3u8
浙江卫视,https://tvbox.nat.netsite.cc:8043/proxy/257951448/257951448.m3u8
海南卫视,https://tvbox.nat.netsite.cc:8043/proxy/2019508840/2019508840.m3u8
海南卫视,https://tvbox.nat.netsite.cc:8043/proxy/200969914/200969914.m3u8
湖北卫视,https://tvbox.nat.netsite.cc:8043/proxy/209398845/209398845.m3u8
山西卫视,https://tvbox.nat.netsite.cc:8043/proxy/723496018/723496018.m3u8
东南卫视,https://tvbox.nat.netsite.cc:8043/proxy/698479958/698479958.m3u8
贵州卫视,https://tvbox.nat.netsite.cc:8043/proxy/189740973/189740973.m3u8
辽宁卫视,https://tvbox.nat.netsite.cc:8043/proxy/463441117/463441117.m3u8
重庆卫视,https://tvbox.nat.netsite.cc:8043/proxy/562106987/562106987.m3u8
黑龙江卫视,https://tvbox.nat.netsite.cc:8043/proxy/982668357/982668357.m3u8
内蒙古卫视,https://tvbox.nat.netsite.cc:8043/proxy/1838037272/1838037272.m3u8
宁夏卫视,https://tvbox.nat.netsite.cc:8043/proxy/842139022/842139022.m3u8
陕西卫视,https://tvbox.nat.netsite.cc:8043/proxy/1158533991/1158533991.m3u8
吉林卫视,https://tvbox.nat.netsite.cc:8043/proxy/649197264/649197264.m3u8
甘肃卫视,https://tvbox.nat.netsite.cc:8043/proxy/910220240/910220240.m3u8
云南卫视,https://tvbox.nat.netsite.cc:8043/proxy/599737477/599737477.m3u8
青海卫视,https://tvbox.nat.netsite.cc:8043/proxy/1164716104/1164716104.m3u8
新疆卫视,https://tvbox.nat.netsite.cc:8043/proxy/86832656/86832656.m3u8

家庭影院,http://kxrj.site:9125/6655/mg9.php?id=chcjt
动作电影,http://kxrj.site:9125/6655/mg9.php?id=chcdz
发现之旅,http://kxrj.site:9125/6655/mg9.php?id=fxzl
老故事台,http://kxrj.site:9125/6655/mg9.php?id=lgs
中学生台,http://kxrj.site:9125/6655/mg9.php?id=zxs
东方卫视,http://kxrj.site:9125/6655/mg9.php?id=dfws
吉林卫视,http://kxrj.site:9125/6655/mg9.php?id=jlws
青海卫视,http://kxrj.site:9125/6655/mg9.php?id=qhws
陕西卫视,http://kxrj.site:9125/6655/mg9.php?id=sxws
湖北卫视,http://kxrj.site:9125/6655/mg9.php?id=hubws
江西卫视,http://kxrj.site:9125/6655/mg9.php?id=jxws
江苏卫视,http://kxrj.site:9125/6655/mg9.php?id=jsws
广东卫视,http://kxrj.site:9125/6655/mg9.php?id=gdws
湾区卫视,http://kxrj.site:9125/6655/mg9.php?id=dwqws
海南卫视,http://kxrj.site:9125/6655/mg9.php?id=hinws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
四海钓鱼,http://kxrj.site:9125/6655/mg9.php?id=shdy
江苏教育,http://kxrj.site:9125/6655/mg9.php?id=jsjy
山东教育,http://kxrj.site:9125/6655/mg9.php?id=sdjy
游戏风云,http://kxrj.site:9125/6655/mg9.php?id=yxfy
之江纪录,http://kxrj.site:9125/6655/mg9.php?id=zjjl
杭州综合,http://kxrj.site:9125/6655/mg9.php?id=hzzh
杭州明珠,http://kxrj.site:9125/6655/mg9.php?id=hzmz
杭州生活,http://kxrj.site:9125/6655/mg9.php?id=hzsh
杭州影视,http://kxrj.site:9125/6655/mg9.php?id=hzys
杭州少体,http://kxrj.site:9125/6655/mg9.php?id=hzse
嵊泗综合,http://kxrj.site:9125/6655/mg9.php?id=ssxwzh
普陀电视,http://kxrj.site:9125/6655/mg9.php?id=ptxwzh
高清大片,http://kxrj.site:9125/6655/mg9.php?id=gqdp
经典电影,http://kxrj.site:9125/6655/mg9.php?id=jdxgdy
军事大片,http://kxrj.site:9125/6655/mg9.php?id=jsdp
热剧联播,http://kxrj.site:9125/6655/mg9.php?id=rjlb
赛事经典,http://kxrj.site:9125/6655/mg9.php?id=sszjd
体坛名汇,http://kxrj.site:9125/6655/mg9.php?id=ttmlh
新片映厅,http://kxrj.site:9125/6655/mg9.php?id=xpfyt

重庆卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cqws
吉林卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=jlws
辽宁卫视,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=lnws
